Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
October 2019,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,6.0
ASSAULT 3 & RELATED OFFENSES,3.0
DISORDERLY CONDUCT,1.0
FELONY ASSAULT,1.0
OFFENSES AGAINST THE PERSON,1.0
005,1.0
SEX CRIMES,1.0
006,2.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
SEX CRIMES,1.0
013,7.0
ASSAULT 3 & RELATED OFFENSES,4.0
SEX CRIMES,3.0
014,8.0
ASSAULT 3 & RELATED OFFENSES,5.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
SEX CRIMES,1.0
017,2.0
ROBBERY,1.0
SEX CRIMES,1.0
018,4.0
ASSAULT 3 & RELATED OFFENSES,4.0
020,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
023,1.0
MISCELLANEOUS PENAL LAW,1.0
024,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
025,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
SEX CRIMES,1.0
030,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
033,3.0
FELONY ASSAULT,3.0
034,2.0
FELONY ASSAULT,2.0
040,9.0
ASSAULT 3 & RELATED OFFENSES,3.0
DISORDERLY CONDUCT,1.0
HARRASSMENT 2,2.0
MISCELLANEOUS PENAL LAW,1.0
OFFENSES AGAINST THE PERSON,1.0
SEX CRIMES,1.0
044,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
045,1.0
SEX CRIMES,1.0
046,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
047,1.0
ROBBERY,1.0
048,3.0
ASSAULT 3 & RELATED OFFENSES,2.0
FELONY ASSAULT,1.0
049,3.0
ASSAULT 3 & RELATED OFFENSES,3.0
060,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
071,1.0
FELONY ASSAULT,1.0
075,3.0
FELONY ASSAULT,2.0
ROBBERY,1.0
077,1.0
FELONY ASSAULT,1.0
078,4.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY &,2.0
079,2.0
DISORDERLY CONDUCT,1.0
FELONY ASSAULT,1.0
081,3.0
ASSAULT 3 & RELATED OFFENSES,1.0
MISCELLANEOUS PENAL LAW,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
083,1.0
SEX CRIMES,1.0
084,5.0
ASSAULT 3 & RELATED OFFENSES,3.0
MISCELLANEOUS PENAL LAW,1.0
SEX CRIMES,1.0
088,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
090,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
094,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
101,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
104,1.0
SEX CRIMES,1.0
110,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
114,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
Grand Total,93.0
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
