Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
January 2019,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,2
001 Total,3
005,
SEX CRIMES,1
005 Total,1
009,
OFF. AGNST PUB ORD SENSBLTY &,1
009 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,2
SEX CRIMES,4
013 Total,8
014,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,3
MISCELLANEOUS PENAL LAW,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,2
014 Total,12
017,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
017 Total,3
018,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
018 Total,2
019,
FELONY ASSAULT,1
019 Total,1
020,
ASSAULT 3 & RELATED OFFENSES,2
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
020 Total,5
024,
FELONY ASSAULT,1
SEX CRIMES,1
024 Total,2
025,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
025 Total,3
028,
ASSAULT 3 & RELATED OFFENSES,1
028 Total,1
030,
FELONY ASSAULT,1
030 Total,1
032,
ASSAULT 3 & RELATED OFFENSES,1
032 Total,1
033,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,4
033 Total,5
040,
ASSAULT 3 & RELATED OFFENSES,2
040 Total,2
041,
ASSAULT 3 & RELATED OFFENSES,2
041 Total,2
044,
ASSAULT 3 & RELATED OFFENSES,1
044 Total,1
045,
ASSAULT 3 & RELATED OFFENSES,1
045 Total,1
047,
ASSAULT 3 & RELATED OFFENSES,1
047 Total,1
048,
ASSAULT 3 & RELATED OFFENSES,1
048 Total,1
050,
ROBBERY,1
050 Total,1
066,
ASSAULT 3 & RELATED OFFENSES,1
066 Total,1
068,
ROBBERY,1
068 Total,1
069,
ASSAULT 3 & RELATED OFFENSES,1
069 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
071 Total,1
072,
ASSAULT 3 & RELATED OFFENSES,1
072 Total,1
077,
FELONY ASSAULT,1
077 Total,1
081,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
081 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
084 Total,8
090,
SEX CRIMES,1
090 Total,1
094,
ASSAULT 3 & RELATED OFFENSES,1
094 Total,1
100,
ASSAULT 3 & RELATED OFFENSES,3
100 Total,3
102,
ASSAULT 3 & RELATED OFFENSES,1
102 Total,1
106,
ASSAULT 3 & RELATED OFFENSES,2
106 Total,2
110,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
110 Total,2
115,
ASSAULT 3 & RELATED OFFENSES,1
115 Total,1
Grand Total,85
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Arrests
FELONY ASSAULT,1
120 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
