Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
March 2019,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
001 Total,3
005,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,2
005 Total,3
006,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
006 Total,3
013,
ASSAULT 3 & RELATED OFFENSES,3
SEX CRIMES,7
013 Total,10
014,
ASSAULT 3 & RELATED OFFENSES,8
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,4
014 Total,15
017,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
017 Total,2
018,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
SEX CRIMES,1
018 Total,4
019,
ASSAULT 3 & RELATED OFFENSES,2
SEX CRIMES,1
019 Total,3
024,
ASSAULT 3 & RELATED OFFENSES,1
024 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
025 Total,4
028,
ASSAULT 3 & RELATED OFFENSES,1
028 Total,1
030,
MISCELLANEOUS PENAL LAW,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
030 Total,2
032,
OFFENSES AGAINST THE PERSON,1
032 Total,1
034,
SEX CRIMES,1
034 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,1
ROBBERY,1
SEX CRIMES,1
040 Total,3
041,
ASSAULT 3 & RELATED OFFENSES,1
041 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,2
SEX CRIMES,1
044 Total,3
046,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
046 Total,3
052,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,2
060,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
060 Total,1
061,
ASSAULT 3 & RELATED OFFENSES,1
061 Total,1
069,
ASSAULT 3 & RELATED OFFENSES,1
069 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,2
HARRASSMENT 2,1
071 Total,3
072,
ASSAULT 3 & RELATED OFFENSES,1
072 Total,1
073,
FELONY ASSAULT,1
073 Total,1
077,
ASSAULT 3 & RELATED OFFENSES,1
077 Total,1
079,
FELONY ASSAULT,2
079 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
084 Total,4
088,
ASSAULT 3 & RELATED OFFENSES,1
088 Total,1
094,
ASSAULT 3 & RELATED OFFENSES,1
094 Total,1
101,
FELONY ASSAULT,2
101 Total,2
108,
ASSAULT 3 & RELATED OFFENSES,2
108 Total,2
110,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
110 Total,4
112,
ASSAULT 3 & RELATED OFFENSES,2
112 Total,2
114,
ASSAULT 3 & RELATED OFFENSES,1
114 Total,1
Grand Total,93
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
