Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
May 2019,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001 Precinct,7.0
ASSAULT 3 & RELATED OFFENSES,3.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
SEX CRIMES,2.0
005 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
006 Precinct,1.0
SEX CRIMES,1.0
009 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
013 Precinct,5.0
ASSAULT 3 & RELATED OFFENSES,3.0
SEX CRIMES,2.0
014 Precinct,13.0
ASSAULT 3 & RELATED OFFENSES,4.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2.0
SEX CRIMES,6.0
017 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,3.0
SEX CRIMES,1.0
018 Precinct,11.0
ASSAULT 3 & RELATED OFFENSES,3.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
OFFENSES AGAINST THE PERSON,3.0
SEX CRIMES,3.0
019 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
024 Precinct,2.0
FELONY ASSAULT,1.0
SEX CRIMES,1.0
025 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,2.0
FELONY ASSAULT,1.0
SEX CRIMES,1.0
030 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
040 Precinct,2.0
FELONY ASSAULT,1.0
OFFENSES AGAINST THE PERSON,1.0
041 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
044 Precinct,3.0
ASSAULT 3 & RELATED OFFENSES,3.0
045 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
046 Precinct,1.0
FELONY ASSAULT,1.0
047 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,2.0
DISORDERLY CONDUCT,1.0
FELONY ASSAULT,1.0
048 Precinct,2.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
SEX CRIMES,1.0
060 Precinct,2.0
FELONY ASSAULT,1.0
MURDER & NON-NEGL. MANSLAUGHTER,1.0
062 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
068 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
069 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
070 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
071 Precinct,3.0
ASSAULT 3 & RELATED OFFENSES,2.0
HARRASSMENT 2,1.0
073 Precinct,2.0
FELONY ASSAULT,2.0
077 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,2.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
OFFENSES AGAINST THE PERSON,1.0
078 Precinct,1.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
081 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
083 Precinct,3.0
MISCELLANEOUS PENAL LAW,3.0
084 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,2.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
100 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
101 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
102 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
105 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
108 Precinct,1.0
SEX CRIMES,1.0
109 Precinct,2.0
SEX CRIMES,2.0
112 Precinct,1.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
121 Precinct,2.0
OFFENSES AGAINST THE PERSON,2.0
Grand Total,102.0
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
