Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
November 2019,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,5.0
ASSAULT 3 & RELATED OFFENSES,4.0
SEX CRIMES,1.0
005,1.0
SEX CRIMES,1.0
006,4.0
ASSAULT 3 & RELATED OFFENSES,4.0
007,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
009,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
013,5.0
ASSAULT 3 & RELATED OFFENSES,3.0
SEX CRIMES,2.0
014,5.0
MISCELLANEOUS PENAL LAW,1.0
OFF. AGNST PUB ORD SENSBLTY &,2.0
SEX CRIMES,2.0
017,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
018,7.0
ASSAULT 3 & RELATED OFFENSES,4.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
OFFENSES AGAINST THE PERSON,1.0
019,3.0
ASSAULT 3 & RELATED OFFENSES,3.0
020,5.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
SEX CRIMES,2.0
024,1.0
SEX CRIMES,1.0
025,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
028,1.0
SEX CRIMES,1.0
032,1.0
ROBBERY,1.0
034,3.0
ASSAULT 3 & RELATED OFFENSES,2.0
ROBBERY,1.0
040,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
OFFENSES AGAINST THE PERSON,1.0
044,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
052,1.0
FELONY ASSAULT,1.0
060,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
073,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
077,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
078,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
084,8.0
ASSAULT 3 & RELATED OFFENSES,6.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
100,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
101,1.0
OFF. AGNST PUB ORD SENSBLTY &,1.0
102,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
108,1.0
FELONY ASSAULT,1.0
110,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
OFFENSES AGAINST THE PERSON,1.0
112,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
115,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
Grand Total,75.0
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
