Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
February 2019,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,3
OFFENSES AGAINST THE PERSON,1
001 Total,5
005,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
005 Total,3
010,
ASSAULT 3 & RELATED OFFENSES,2
010 Total,2
013,
ASSAULT 3 & RELATED OFFENSES,3
ROBBERY,4
SEX CRIMES,4
013 Total,11
014,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,3
014 Total,7
017,
SEX CRIMES,1
017 Total,1
018,
ASSAULT 3 & RELATED OFFENSES,3
018 Total,3
019,
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
SEX CRIMES,3
019 Total,5
020,
ASSAULT 3 & RELATED OFFENSES,3
OFFENSES AGAINST THE PERSON,1
020 Total,4
028,
OFF. AGNST PUB ORD SENSBLTY &,1
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,2
028 Total,5
030,
SEX CRIMES,2
030 Total,2
032,
ASSAULT 3 & RELATED OFFENSES,1
032 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,1
ROBBERY,1
040 Total,2
043,
ASSAULT 3 & RELATED OFFENSES,1
043 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
044 Total,3
046,
ASSAULT 3 & RELATED OFFENSES,1
046 Total,1
048,
ASSAULT 3 & RELATED OFFENSES,1
048 Total,1
052,
ASSAULT 3 & RELATED OFFENSES,1
052 Total,1
060,
ASSAULT 3 & RELATED OFFENSES,1
060 Total,1
062,
ASSAULT 3 & RELATED OFFENSES,1
062 Total,1
070,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
070 Total,2
073,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,2
073 Total,5
075,
SEX CRIMES,1
075 Total,1
077,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
077 Total,1
078,
FELONY ASSAULT,2
078 Total,2
081,
ASSAULT 3 & RELATED OFFENSES,1
081 Total,1
083,
ASSAULT 3 & RELATED OFFENSES,1
083 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,3
OFFENSES AGAINST THE PERSON,2
ROBBERY,1
SEX CRIMES,1
084 Total,8
090,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
090 Total,1
103,
ASSAULT 3 & RELATED OFFENSES,1
103 Total,1
106,
FELONY ASSAULT,1
106 Total,1
114,
ASSAULT 3 & RELATED OFFENSES,2
SEX CRIMES,1
114 Total,3
Grand Total,87
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
