month,ridership
2023-02,84299462
2023-03,101030692
2023-04,94198922
2023-05,104435152
2023-06,97457013
2023-07,90797995
2023-08,93997299
2023-09,95330225
2023-10,104296170
2023-11,98487231
2023-12,96887660
2024-01,91711510
2024-02,90325563
