Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
February 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,2
001 Total,3
005,
ASSAULT 3 & RELATED OFFENSES,3
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
005 Total,5
006,
ASSAULT 3 & RELATED OFFENSES,3
006 Total,3
009,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
009 Total,1
010,
OFFENSES AGAINST THE PERSON,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,3
FORCIBLE TOUCHING,3
OFFENSES AGAINST THE PERSON,6
SEX CRIMES,1
013 Total,13
014,
ASSAULT 3 & RELATED OFFENSES,9
DISORDERLY CONDUCT,1
OFF. AGNST PUB ORD SENSBLTY &,2
OFFENSES AGAINST THE PERSON,2
014 Total,14
017,
FORCIBLE TOUCHING,2
SEX CRIMES,1
017 Total,3
018,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
OFFENSES AGAINST THE PERSON,1
018 Total,6
019,
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
019 Total,3
020,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,2
020 Total,7
025,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
025 Total,3
033,
OFFENSES AGAINST THE PERSON,1
033 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,1
040 Total,1
043,
ASSAULT 3 & RELATED OFFENSES,1
043 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,1
044 Total,1
045,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
045 Total,1
047,
FORCIBLE TOUCHING,1
047 Total,1
052,
ASSAULT 3 & RELATED OFFENSES,2
MISCELLANEOUS PENAL LAW,1
052 Total,3
070,
ASSAULT 3 & RELATED OFFENSES,1
070 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
071 Total,1
072,
FELONY ASSAULT,1
072 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
073 Total,5
079,
FELONY ASSAULT,1
079 Total,1
083,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
ROBBERY,1
083 Total,3
084,
ASSAULT 3 & RELATED OFFENSES,2
OFFENSES AGAINST THE PERSON,4
084 Total,6
101,
MISCELLANEOUS PENAL LAW,1
101 Total,1
104,
ASSAULT 3 & RELATED OFFENSES,1
104 Total,1
108,
FORCIBLE TOUCHING,1
108 Total,1
110,
FELONY ASSAULT,2
110 Total,2
115,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
115 Total,2
Grand Total,96
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
