Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
November 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
001 Total,3
005,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,2
005 Total,3
007,
SEX CRIMES,1
007 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,3
SEX CRIMES,3
013 Total,6
014,
ASSAULT 3 & RELATED OFFENSES,7
DISORDERLY CONDUCT,1
014 Total,8
017,
ASSAULT 3 & RELATED OFFENSES,1
017 Total,1
018,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
018 Total,9
019,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
019 Total,3
020,
ASSAULT 3 & RELATED OFFENSES,3
MISCELLANEOUS PENAL LAW,1
SEX CRIMES,1
020 Total,5
025,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
025 Total,3
026,
ASSAULT 3 & RELATED OFFENSES,2
026 Total,2
028,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
028 Total,2
033,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
033 Total,2
034,
OFFENSES AGAINST THE PERSON,1
034 Total,1
040,
FELONY ASSAULT,2
SEX CRIMES,1
040 Total,3
041,
ASSAULT 3 & RELATED OFFENSES,2
041 Total,2
044,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
044 Total,2
046,
FELONY ASSAULT,1
ROBBERY,1
046 Total,2
048,
ASSAULT 3 & RELATED OFFENSES,1
048 Total,1
052,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,3
061,
SEX CRIMES,1
061 Total,1
062,
SEX CRIMES,1
062 Total,1
066,
SEX CRIMES,1
066 Total,1
067,
ROBBERY,1
067 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
073 Total,3
075,
ASSAULT 3 & RELATED OFFENSES,1
MISCELLANEOUS PENAL LAW,1
075 Total,2
077,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
077 Total,2
079,
DISORDERLY CONDUCT,1
079 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
ROBBERY,1
084 Total,4
090,
ASSAULT 3 & RELATED OFFENSES,1
090 Total,1
102,
ASSAULT 3 & RELATED OFFENSES,1
102 Total,1
103,
ASSAULT 3 & RELATED OFFENSES,3
103 Total,3
104,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
104 Total,2
106,
FELONY ASSAULT,1
106 Total,1
110,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
110 Total,2
Grand Total,88
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
