Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
May 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
001 Total,1
005,
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
005 Total,2
006,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
006 Total,3
007,
ASSAULT 3 & RELATED OFFENSES,1
007 Total,1
009,
ASSAULT 3 & RELATED OFFENSES,1
009 Total,1
010,
ASSAULT 3 & RELATED OFFENSES,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
SEX CRIMES,3
013 Total,6
014,
ASSAULT 3 & RELATED OFFENSES,5
FORCIBLE TOUCHING,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,3
SEX CRIMES,3
014 Total,14
017,
FORCIBLE TOUCHING,1
SEX CRIMES,3
017 Total,4
018,
ASSAULT 3 & RELATED OFFENSES,6
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
018 Total,12
019,
ASSAULT 3 & RELATED OFFENSES,1
019 Total,1
020,
FELONY ASSAULT,1
020 Total,1
023,
ASSAULT 3 & RELATED OFFENSES,2
023 Total,2
024,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
024 Total,3
025,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
025 Total,2
028,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
028 Total,2
033,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
033 Total,2
034,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
034 Total,1
040,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
040 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,2
044 Total,2
046,
ASSAULT 3 & RELATED OFFENSES,1
046 Total,1
047,
FORCIBLE TOUCHING,1
SEX CRIMES,1
047 Total,2
048,
ASSAULT 3 & RELATED OFFENSES,4
048 Total,4
049,
ASSAULT 3 & RELATED OFFENSES,1
049 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
ROBBERY,1
073 Total,3
075,
ASSAULT 3 & RELATED OFFENSES,3
075 Total,3
084,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
MISCELLANEOUS PENAL LAW,1
SEX CRIMES,1
084 Total,7
101,
DISORDERLY CONDUCT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
101 Total,2
103,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
103 Total,2
106,
FELONY ASSAULT,1
106 Total,1
108,
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,1
108 Total,3
109,
FORCIBLE TOUCHING,1
SEX CRIMES,1
109 Total,2
110,
MISCELLANEOUS PENAL LAW,1
110 Total,1
Grand Total,94
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
