Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
December 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,2
001 Total,2
005,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
005 Total,2
006,
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
006 Total,3
007,
ASSAULT 3 & RELATED OFFENSES,1
007 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,3
013 Total,8
014,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
014 Total,4
018,
ASSAULT 3 & RELATED OFFENSES,2
MISCELLANEOUS PENAL LAW,1
OFFENSES AGAINST THE PERSON,3
SEX CRIMES,1
018 Total,7
024,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,2
024 Total,4
025,
OFFENSES AGAINST THE PERSON,1
025 Total,1
026,
ASSAULT 3 & RELATED OFFENSES,1
026 Total,1
028,
OFFENSES AGAINST THE PERSON,1
028 Total,1
032,
FELONY ASSAULT,1
032 Total,1
033,
MISCELLANEOUS PENAL LAW,3
SEX CRIMES,1
033 Total,4
034,
ASSAULT 3 & RELATED OFFENSES,2
SEX CRIMES,1
034 Total,3
040,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
040 Total,3
041,
FELONY ASSAULT,1
041 Total,1
045,
ASSAULT 3 & RELATED OFFENSES,2
ROBBERY,2
045 Total,4
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,1
060,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,1
060 Total,5
070,
FELONY ASSAULT,1
070 Total,1
071,
FELONY ASSAULT,1
071 Total,1
072,
FELONY ASSAULT,2
072 Total,2
073,
OFFENSES AGAINST THE PERSON,1
073 Total,1
078,
ASSAULT 3 & RELATED OFFENSES,1
078 Total,1
079,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
079 Total,2
081,
FELONY ASSAULT,1
081 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
084 Total,3
094,
OFFENSES AGAINST THE PERSON,2
094 Total,2
100,
ASSAULT 3 & RELATED OFFENSES,1
100 Total,1
103,
ASSAULT 3 & RELATED OFFENSES,1
103 Total,1
110,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
110 Total,2
112,
ASSAULT 3 & RELATED OFFENSES,1
112 Total,1
Grand Total,75
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
122,Arrests
ASSAULT 3 & RELATED OFFENSES,2
122 Total,2
Grand Total,2
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
