Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
January 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
001 Total,4
005,
FELONY ASSAULT,1
005 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,4
ROBBERY,1
013 Total,10
014,
ASSAULT 3 & RELATED OFFENSES,1
MISCELLANEOUS PENAL LAW,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,3
SEX CRIMES,2
014 Total,8
017,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
017 Total,2
018,
ASSAULT 3 & RELATED OFFENSES,3
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,5
018 Total,9
019,
OFFENSES AGAINST THE PERSON,1
019 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
025 Total,4
040,
ASSAULT 3 & RELATED OFFENSES,1
040 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
044 Total,2
047,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
047 Total,1
049,
ASSAULT 3 & RELATED OFFENSES,1
049 Total,1
052,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,2
067,
FELONY ASSAULT,1
067 Total,1
069,
SEX CRIMES,1
069 Total,1
070,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
070 Total,2
072,
FELONY ASSAULT,4
072 Total,4
073,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
073 Total,3
075,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
075 Total,2
077,
ASSAULT 3 & RELATED OFFENSES,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
077 Total,4
078,
ASSAULT 3 & RELATED OFFENSES,1
078 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,4
084 Total,9
088,
FELONY ASSAULT,1
088 Total,1
090,
ASSAULT 3 & RELATED OFFENSES,3
OFFENSES AGAINST THE PERSON,1
090 Total,4
103,
ASSAULT 3 & RELATED OFFENSES,1
103 Total,1
108,
OFFENSES AGAINST THE PERSON,1
108 Total,1
Grand Total,80
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Arrests
ROBBERY,1
120 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
