Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
August 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,4
OFFENSES AGAINST THE PERSON,2
001 Total,6
006,
ASSAULT 3 & RELATED OFFENSES,1
MISCELLANEOUS PENAL LAW,1
006 Total,2
010,
ASSAULT 3 & RELATED OFFENSES,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,5
013 Total,6
014,
ASSAULT 3 & RELATED OFFENSES,5
SEX CRIMES,4
014 Total,9
017,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
017 Total,2
018,
ASSAULT 3 & RELATED OFFENSES,3
018 Total,3
019,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
SEX CRIMES,2
019 Total,6
020,
FELONY ASSAULT,1
020 Total,1
023,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
023 Total,1
024,
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,2
024 Total,4
025,
ROBBERY,1
SEX CRIMES,1
025 Total,2
026,
OFFENSES AGAINST THE PERSON,1
026 Total,1
028,
SEX CRIMES,1
028 Total,1
030,
ASSAULT 3 & RELATED OFFENSES,2
030 Total,2
040,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
040 Total,3
041,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
041 Total,1
043,
FELONY ASSAULT,1
043 Total,1
044,
FORCIBLE TOUCHING,1
044 Total,1
045,
SEX CRIMES,1
045 Total,1
048,
ASSAULT 3 & RELATED OFFENSES,1
MISCELLANEOUS PENAL LAW,1
048 Total,2
052,
ASSAULT 3 & RELATED OFFENSES,1
052 Total,1
060,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
060 Total,2
062,
ASSAULT 3 & RELATED OFFENSES,1
062 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
071 Total,1
072,
ROBBERY,1
072 Total,1
073,
OFFENSES AGAINST THE PERSON,1
073 Total,1
075,
FELONY ASSAULT,2
075 Total,2
077,
DISORDERLY CONDUCT,1
077 Total,1
079,
ASSAULT 3 & RELATED OFFENSES,1
079 Total,1
081,
SEX CRIMES,1
081 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
084 Total,2
100,
ASSAULT 3 & RELATED OFFENSES,1
100 Total,1
102,
ASSAULT 3 & RELATED OFFENSES,1
102 Total,1
103,
ASSAULT 3 & RELATED OFFENSES,1
103 Total,1
108,
SEX CRIMES,1
108 Total,1
109,
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
109 Total,2
112,
FELONY ASSAULT,1
112 Total,1
115,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
115 Total,1
Grand Total,78
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Arrests
FELONY ASSAULT,1
120 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
