Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
September 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
MISCELLANEOUS PENAL LAW,1
001 Total,2
013,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
FORCIBLE TOUCHING,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
013 Total,7
014,
ASSAULT 3 & RELATED OFFENSES,2
SEX CRIMES,4
014 Total,6
017,
ASSAULT 3 & RELATED OFFENSES,2
017 Total,2
018,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
SEX CRIMES,1
018 Total,5
019,
FORCIBLE TOUCHING,2
019 Total,2
020,
SEX CRIMES,1
020 Total,1
024,
SEX CRIMES,1
024 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,1
(blank),1
025 Total,2
026,
OFFENSES AGAINST THE PERSON,2
026 Total,2
028,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
028 Total,1
034,
ASSAULT 3 & RELATED OFFENSES,2
034 Total,2
040,
ASSAULT 3 & RELATED OFFENSES,5
FELONY ASSAULT,1
040 Total,6
041,
FELONY ASSAULT,1
041 Total,1
042,
ASSAULT 3 & RELATED OFFENSES,1
042 Total,1
044,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
044 Total,2
046,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
046 Total,2
047,
ASSAULT 3 & RELATED OFFENSES,2
047 Total,2
048,
ASSAULT 3 & RELATED OFFENSES,2
048 Total,2
062,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
062 Total,2
069,
ASSAULT 3 & RELATED OFFENSES,1
069 Total,1
070,
ASSAULT 3 & RELATED OFFENSES,1
070 Total,1
072,
FELONY ASSAULT,1
072 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
073 Total,2
075,
MISCELLANEOUS PENAL LAW,1
075 Total,1
076,
FELONY ASSAULT,1
076 Total,1
081,
FELONY ASSAULT,1
081 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
084 Total,4
102,
ASSAULT 3 & RELATED OFFENSES,1
102 Total,1
103,
ASSAULT 3 & RELATED OFFENSES,3
103 Total,3
107,
HARRASSMENT 2,1
107 Total,1
110,
ASSAULT 3 & RELATED OFFENSES,2
110 Total,2
115,
ASSAULT 3 & RELATED OFFENSES,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
115 Total,4
Grand Total,74
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Arrests
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
120 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
