Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
June 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,4
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,2
001 Total,7
005,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
005 Total,2
006,
FORCIBLE TOUCHING,1
ROBBERY,1
SEX CRIMES,1
006 Total,3
007,
ASSAULT 3 & RELATED OFFENSES,1
007 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,3
SEX CRIMES,4
013 Total,10
014,
ASSAULT 3 & RELATED OFFENSES,5
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,2
SEX CRIMES,1
014 Total,10
017,
ASSAULT 3 & RELATED OFFENSES,2
017 Total,2
018,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,2
OFFENSES AGAINST THE PERSON,1
018 Total,6
019,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
019 Total,2
020,
ASSAULT 3 & RELATED OFFENSES,2
SEX CRIMES,1
020 Total,3
024,
SEX CRIMES,1
024 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,2
SEX CRIMES,2
025 Total,8
026,
SEX CRIMES,1
026 Total,1
028,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
028 Total,2
030,
SEX CRIMES,1
030 Total,1
033,
ASSAULT 3 & RELATED OFFENSES,2
033 Total,2
040,
FELONY ASSAULT,1
040 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,1
044 Total,1
047,
ASSAULT 3 & RELATED OFFENSES,1
047 Total,1
048,
FELONY ASSAULT,2
048 Total,2
060,
ASSAULT 3 & RELATED OFFENSES,1
060 Total,1
061,
ASSAULT 3 & RELATED OFFENSES,1
061 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
071 Total,1
072,
ASSAULT 3 & RELATED OFFENSES,1
072 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,2
073 Total,2
075,
ASSAULT 3 & RELATED OFFENSES,2
075 Total,2
077,
ASSAULT 3 & RELATED OFFENSES,2
077 Total,2
079,
OFFENSES AGAINST THE PERSON,3
079 Total,3
083,
ASSAULT 3 & RELATED OFFENSES,3
083 Total,3
084,
ASSAULT 3 & RELATED OFFENSES,7
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
084 Total,12
088,
FELONY ASSAULT,1
088 Total,1
094,
ASSAULT 3 & RELATED OFFENSES,1
094 Total,1
100,
ASSAULT 3 & RELATED OFFENSES,1
100 Total,1
103,
OFFENSES AGAINST THE PERSON,1
103 Total,1
107,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
107 Total,1
112,
FELONY ASSAULT,1
112 Total,1
Grand Total,100
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Arrests
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
120 Total,2
Grand Total,2
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
