Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
July 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
001 Total,3
006,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,2
006 Total,3
010,
OFFENSES AGAINST THE PERSON,2
010 Total,2
013,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY &,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
013 Total,11
014,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,3
014 Total,6
017,
ASSAULT 3 & RELATED OFFENSES,1
017 Total,1
018,
ASSAULT 3 & RELATED OFFENSES,5
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,2
018 Total,9
019,
FORCIBLE TOUCHING,2
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,2
019 Total,6
020,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
020 Total,3
025,
ASSAULT 3 & RELATED OFFENSES,3
025 Total,3
028,
ASSAULT 3 & RELATED OFFENSES,1
028 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,5
FELONY ASSAULT,3
040 Total,8
043,
FORCIBLE TOUCHING,1
043 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,1
SEX CRIMES,1
044 Total,4
045,
ASSAULT 3 & RELATED OFFENSES,1
045 Total,1
046,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
046 Total,2
048,
ASSAULT 3 & RELATED OFFENSES,3
048 Total,3
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,1
060,
FORCIBLE TOUCHING,1
060 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
071 Total,3
073,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
073 Total,3
075,
ASSAULT 3 & RELATED OFFENSES,2
075 Total,2
077,
FELONY ASSAULT,1
077 Total,1
079,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,2
079 Total,4
081,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
081 Total,1
083,
FELONY ASSAULT,1
083 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,2
084 Total,3
088,
MISCELLANEOUS PENAL LAW,1
088 Total,1
094,
FELONY ASSAULT,1
094 Total,1
103,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
103 Total,1
108,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
108 Total,1
114,
ASSAULT 3 & RELATED OFFENSES,1
114 Total,1
Grand Total,92
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
