Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
April 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrest
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,3
001 Total,5
005,
FELONY ASSAULT,1
005 Total,1
006,
ASSAULT 3 & RELATED OFFENSES,1
006 Total,1
007,
ASSAULT 3 & RELATED OFFENSES,1
007 Total,1
009,
FORCIBLE TOUCHING,1
009 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
013 Total,4
014,
ASSAULT 3 & RELATED OFFENSES,4
DISORDERLY CONDUCT,1
FELONY ASSAULT,3
FORCIBLE TOUCHING,1
MISCELLANEOUS PENAL LAW,8
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
014 Total,20
017,
FORCIBLE TOUCHING,1
017 Total,1
018,
ASSAULT 3 & RELATED OFFENSES,5
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
018 Total,9
020,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
020 Total,2
024,
SEX CRIMES,1
024 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,2
025 Total,2
026,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
026 Total,3
030,
ASSAULT 3 & RELATED OFFENSES,2
030 Total,2
034,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
034 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,1
040 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
044 Total,2
047,
ASSAULT 3 & RELATED OFFENSES,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
047 Total,4
049,
ASSAULT 3 & RELATED OFFENSES,1
049 Total,1
052,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,2
060,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
060 Total,1
066,
ASSAULT 3 & RELATED OFFENSES,1
066 Total,1
068,
ASSAULT 3 & RELATED OFFENSES,1
068 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
073 Total,2
076,
ASSAULT 3 & RELATED OFFENSES,1
076 Total,1
077,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,2
077 Total,3
078,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
078 Total,2
083,
OFFENSES AGAINST THE PERSON,1
083 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
084 Total,3
088,
ASSAULT 3 & RELATED OFFENSES,1
088 Total,1
103,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
103 Total,1
106,
ASSAULT 3 & RELATED OFFENSES,1
106 Total,1
107,
FORCIBLE TOUCHING,1
ROBBERY,1
107 Total,2
109,
FELONY ASSAULT,1
109 Total,1
110,
OFFENSES AGAINST THE PERSON,2
110 Total,2
114,
SEX CRIMES,1
114 Total,1
115,
FORCIBLE TOUCHING,1
115 Total,1
Grand Total,89
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
