Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
October 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
RAPE,1
SEX CRIMES,1
001 Total,7
005,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,3
005 Total,5
006,
FELONY ASSAULT,1
006 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,4
DISORDERLY CONDUCT,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
013 Total,7
014,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
SEX CRIMES,7
014 Total,9
017,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,2
017 Total,3
018,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,3
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
018 Total,7
019,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
SEX CRIMES,2
019 Total,4
020,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
020 Total,3
023,
SEX CRIMES,1
023 Total,1
024,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
024 Total,2
025,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
025 Total,3
026,
ASSAULT 3 & RELATED OFFENSES,3
026 Total,3
028,
DISORDERLY CONDUCT,1
OFFENSES AGAINST THE PERSON,3
028 Total,4
040,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
040 Total,4
044,
FELONY ASSAULT,2
OFFENSES AGAINST THE PERSON,1
044 Total,3
047,
ASSAULT 3 & RELATED OFFENSES,1
047 Total,1
052,
ASSAULT 3 & RELATED OFFENSES,2
OFFENSES AGAINST THE PERSON,1
052 Total,3
070,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
070 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
071 Total,2
072,
MISCELLANEOUS PENAL LAW,1
072 Total,1
075,
FELONY ASSAULT,1
075 Total,1
079,
ASSAULT 3 & RELATED OFFENSES,1
079 Total,1
081,
ASSAULT 3 & RELATED OFFENSES,1
081 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,7
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
084 Total,10
088,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
088 Total,2
090,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
090 Total,2
094,
OFFENSES AGAINST THE PERSON,3
094 Total,3
100,
DISORDERLY CONDUCT,1
ROBBERY,1
100 Total,2
106,
ASSAULT 3 & RELATED OFFENSES,1
RAPE,1
106 Total,2
108,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
108 Total,2
110,
ASSAULT 3 & RELATED OFFENSES,2
110 Total,2
115,
SEX CRIMES,1
115 Total,1
Grand Total,103
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
123,Arrests
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
123 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
