Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
March 2018,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,2
HARRASSMENT 2,1
001 Total,3
005,
OFFENSES AGAINST THE PERSON,2
005 Total,2
009,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
009 Total,4
010,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
013 Total,4
014,
FORCIBLE TOUCHING,1
SEX CRIMES,3
014 Total,4
017,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
017 Total,3
018,
ASSAULT 3 & RELATED OFFENSES,4
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
ROBBERY,1
018 Total,7
019,
ASSAULT 3 & RELATED OFFENSES,2
SEX CRIMES,1
019 Total,3
020,
OFFENSES AGAINST THE PERSON,2
020 Total,2
024,
ASSAULT 3 & RELATED OFFENSES,1
024 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,1
025 Total,1
026,
OFFENSES AGAINST THE PERSON,1
026 Total,1
030,
ASSAULT 3 & RELATED OFFENSES,2
030 Total,2
033,
FELONY ASSAULT,1
033 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
040 Total,2
042,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
ROBBERY,1
042 Total,4
046,
FELONY ASSAULT,1
046 Total,1
048,
SEX CRIMES,1
048 Total,1
049,
ASSAULT 3 & RELATED OFFENSES,1
049 Total,1
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
052 Total,2
060,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
060 Total,3
061,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
061 Total,2
067,
ASSAULT 3 & RELATED OFFENSES,1
067 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,4
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
073 Total,6
075,
FELONY ASSAULT,1
075 Total,1
077,
FELONY ASSAULT,1
077 Total,1
078,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
078 Total,4
081,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
081 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
OFFENSES AGAINST THE PERSON,1
084 Total,9
094,
OFFENSES AGAINST THE PERSON,2
094 Total,2
104,
ASSAULT 3 & RELATED OFFENSES,1
104 Total,1
106,
FELONY ASSAULT,1
106 Total,1
107,
SEX CRIMES,1
107 Total,1
108,
OFFENSES AGAINST THE PERSON,2
108 Total,2
109,
FELONY ASSAULT,1
109 Total,1
110,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
110 Total,2
Grand Total,89
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
