Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
April 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
001 Total,4
005,
MISCELLANEOUS PENAL LAW,1
005 Total,1
006,
FELONY ASSAULT,1
006 Total,1
009,
FELONY ASSAULT,2
009 Total,2
013,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
MISCELLANEOUS PENAL LAW,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
013 Total,7
014,
ASSAULT 3 & RELATED OFFENSES,6
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
SEX CRIMES,2
014 Total,12
017,
FORCIBLE TOUCHING,1
SEX CRIMES,2
017 Total,3
018,
ASSAULT 3 & RELATED OFFENSES,3
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
018 Total,5
019,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
019 Total,1
020,
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,4
SEX CRIMES,2
020 Total,8
024,
FORCIBLE TOUCHING,1
SEX CRIMES,2
024 Total,3
025,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
025 Total,2
026,
DISORDERLY CONDUCT,1
FORCIBLE TOUCHING,2
026 Total,3
030,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
030 Total,4
040,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
040 Total,2
045,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
045 Total,3
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,1
060,
ASSAULT 3 & RELATED OFFENSES,2
060 Total,2
066,
SEX CRIMES,1
066 Total,1
067,
DISORDERLY CONDUCT,1
067 Total,1
069,
FELONY ASSAULT,1
069 Total,1
070,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
070 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
073 Total,2
075,
KIDNAPPING & RELATED OFFENSES,1
ROBBERY,1
075 Total,2
077,
ASSAULT 3 & RELATED OFFENSES,1
077 Total,1
078,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
078 Total,1
079,
OFFENSES AGAINST THE PERSON,2
079 Total,2
081,
FELONY ASSAULT,1
081 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,3
OFFENSES AGAINST THE PERSON,7
084 Total,10
088,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
088 Total,1
101,
ASSAULT 3 & RELATED OFFENSES,1
101 Total,1
108,
DISORDERLY CONDUCT,1
OFFENSES AGAINST THE PERSON,2
108 Total,3
112,
ASSAULT 3 & RELATED OFFENSES,1
112 Total,1
114,
SEX CRIMES,1
114 Total,1
Grand Total,94
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
