Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
December 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
001 Total,1
005,
OFFENSES AGAINST THE PERSON,1
005 Total,1
006,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
006 Total,2
009,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
009 Total,2
010,
FELONY ASSAULT,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,11
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
SEX CRIMES,1
013 Total,14
014,
ASSAULT 3 & RELATED OFFENSES,2
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
014 Total,7
018,
ASSAULT 3 & RELATED OFFENSES,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
018 Total,5
019,
ASSAULT 3 & RELATED OFFENSES,3
SEX CRIMES,1
019 Total,4
020,
ASSAULT 3 & RELATED OFFENSES,1
020 Total,1
023,
OFF. AGNST PUB ORD SENSBLTY &,1
023 Total,1
024,
ASSAULT 3 & RELATED OFFENSES,1
024 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
025 Total,2
026,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
026 Total,2
030,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
030 Total,3
033,
ASSAULT 3 & RELATED OFFENSES,2
033 Total,2
034,
ASSAULT 3 & RELATED OFFENSES,3
034 Total,3
040,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
HARRASSMENT 2,1
040 Total,5
042,
DISORDERLY CONDUCT,1
042 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,1
044 Total,1
045,
FORCIBLE TOUCHING,1
045 Total,1
047,
SEX CRIMES,1
047 Total,1
048,
ASSAULT 3 & RELATED OFFENSES,1
048 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,4
OFFENSES AGAINST THE PERSON,2
073 Total,6
075,
OFFENSES AGAINST THE PERSON,1
075 Total,1
078,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
078 Total,2
079,
ASSAULT 3 & RELATED OFFENSES,1
079 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,3
OFFENSES AGAINST THE PERSON,2
084 Total,5
088,
OFFENSES AGAINST THE PERSON,1
088 Total,1
090,
SEX CRIMES,1
090 Total,1
094,
OFFENSES AGAINST THE PERSON,4
094 Total,4
103,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
103 Total,2
108,
OFFENSES AGAINST THE PERSON,3
108 Total,3
112,
OFFENSES AGAINST THE PERSON,3
112 Total,3
Grand Total,91
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
