Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
March 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
001 Total,6
005,
SEX CRIMES,3
005 Total,3
006,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
006 Total,1
007,
OFFENSES AGAINST THE PERSON,2
007 Total,2
013,
FORCIBLE TOUCHING,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,2
013 Total,5
014,
ASSAULT 3 & RELATED OFFENSES,2
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,3
014 Total,8
017,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
017 Total,2
018,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
018 Total,2
019,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
019 Total,3
020,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
020 Total,6
024,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
024 Total,2
025,
SEX CRIMES,1
025 Total,1
026,
DISORDERLY CONDUCT,1
OFFENSES AGAINST THE PERSON,4
026 Total,5
028,
FELONY ASSAULT,1
028 Total,1
032,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
032 Total,2
033,
ROBBERY,1
033 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,1
HARRASSMENT 2,1
ROBBERY,1
040 Total,3
041,
FELONY ASSAULT,1
041 Total,1
042,
SEX CRIMES,1
042 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,5
FELONY ASSAULT,2
ROBBERY,1
044 Total,8
046,
ASSAULT 3 & RELATED OFFENSES,1
046 Total,1
052,
ASSAULT 3 & RELATED OFFENSES,1
052 Total,1
060,
ROBBERY,1
060 Total,1
061,
OFFENSES AGAINST THE PERSON,1
061 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
071 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,3
073 Total,3
075,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,3
075 Total,4
076,
FELONY ASSAULT,1
076 Total,1
077,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
077 Total,3
083,
ASSAULT 3 & RELATED OFFENSES,1
083 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,3
OFFENSES AGAINST THE PERSON,9
084 Total,15
088,
ASSAULT 3 & RELATED OFFENSES,1
088 Total,1
090,
FELONY ASSAULT,1
090 Total,1
094,
ROBBERY,2
094 Total,2
100,
ASSAULT 3 & RELATED OFFENSES,1
100 Total,1
103,
OFFENSES AGAINST THE PERSON,1
103 Total,1
106,
FELONY ASSAULT,2
106 Total,2
108,
DISORDERLY CONDUCT,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,1
108 Total,5
109,
ASSAULT 3 & RELATED OFFENSES,1
109 Total,1
112,
ASSAULT 3 & RELATED OFFENSES,2
112 Total,2
115,
FORCIBLE TOUCHING,1
115 Total,1
Grand Total,112
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
