Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
November 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
001 Total,2
005,
SEX CRIMES,2
005 Total,2
013,
ASSAULT 3 & RELATED OFFENSES,3
MISCELLANEOUS PENAL LAW,1
SEX CRIMES,2
013 Total,6
014,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
014 Total,6
017,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
017 Total,1
018,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
FORCIBLE TOUCHING,1
HARRASSMENT 2,1
OFFENSES AGAINST THE PERSON,4
018 Total,8
019,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
019 Total,7
020,
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
020 Total,6
024,
SEX CRIMES,1
024 Total,1
025,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,2
025 Total,3
026,
OFFENSES AGAINST THE PERSON,2
026 Total,2
028,
OFFENSES AGAINST THE PERSON,1
028 Total,1
030,
OFFENSES AGAINST THE PERSON,1
030 Total,1
034,
ASSAULT 3 & RELATED OFFENSES,3
KIDNAPPING & RELATED OFFENSES,1
034 Total,4
042,
FELONY ASSAULT,1
042 Total,1
044,
FELONY ASSAULT,1
MISCELLANEOUS PENAL LAW,1
044 Total,2
045,
OFFENSES AGAINST THE PERSON,1
045 Total,1
048,
ASSAULT 3 & RELATED OFFENSES,1
048 Total,1
060,
ROBBERY,1
060 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,4
SEX CRIMES,1
073 Total,5
075,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
075 Total,2
077,
ASSAULT 3 & RELATED OFFENSES,1
077 Total,1
078,
FELONY ASSAULT,2
078 Total,2
079,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,3
079 Total,4
081,
ASSAULT 3 & RELATED OFFENSES,1
MISCELLANEOUS PENAL LAW,1
081 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,6
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,11
084 Total,20
088,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
088 Total,2
094,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,4
094 Total,5
112,
FELONY ASSAULT,1
112 Total,1
115,
SEX CRIMES,1
115 Total,1
Grand Total,101
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
