Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
July 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
001 Total,3
005,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,5
005 Total,7
006,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
SEX CRIMES,1
006 Total,4
013,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,3
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,3
013 Total,11
014,
ASSAULT 3 & RELATED OFFENSES,4
ROBBERY,1
SEX CRIMES,1
014 Total,6
017,
FORCIBLE TOUCHING,1
017 Total,1
018,
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
018 Total,4
019,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
019 Total,2
020,
FORCIBLE TOUCHING,1
020 Total,1
025,
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
025 Total,2
030,
ASSAULT 3 & RELATED OFFENSES,1
030 Total,1
032,
FORCIBLE TOUCHING,1
032 Total,1
034,
FORCIBLE TOUCHING,1
034 Total,1
040,
FORCIBLE TOUCHING,1
040 Total,1
041,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
041 Total,2
045,
ASSAULT 3 & RELATED OFFENSES,2
RAPE,1
045 Total,3
046,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
046 Total,1
049,
ROBBERY,2
049 Total,2
060,
ASSAULT 3 & RELATED OFFENSES,2
060 Total,2
061,
ASSAULT 3 & RELATED OFFENSES,1
061 Total,1
066,
ASSAULT 3 & RELATED OFFENSES,1
066 Total,1
069,
FELONY ASSAULT,1
069 Total,1
070,
FELONY ASSAULT,1
070 Total,1
073,
OFFENSES AGAINST THE PERSON,1
073 Total,1
075,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
ROBBERY,1
075 Total,3
076,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
076 Total,1
081,
FELONY ASSAULT,1
081 Total,1
083,
ASSAULT 3 & RELATED OFFENSES,2
083 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,2
OFFENSES AGAINST THE PERSON,4
084 Total,6
094,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
094 Total,2
101,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
101 Total,3
103,
SEX CRIMES,1
103 Total,1
108,
OFFENSES AGAINST THE PERSON,2
108 Total,2
109,
ASSAULT 3 & RELATED OFFENSES,1
109 Total,1
110,
OFFENSES AGAINST THE PERSON,2
110 Total,2
112,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
112 Total,4
Grand Total,88
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
