Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
September 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,3
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,3
001 Total,8
005,
ASSAULT 3 & RELATED OFFENSES,1
005 Total,1
010,
OFFENSES AGAINST THE PERSON,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,1
FORCIBLE TOUCHING,3
SEX CRIMES,2
013 Total,10
014,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
014 Total,11
017,
SEX CRIMES,1
017 Total,1
018,
OFFENSES AGAINST THE PERSON,6
ROBBERY,1
018 Total,7
019,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
019 Total,2
020,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
020 Total,4
024,
SEX CRIMES,1
024 Total,1
025,
FORCIBLE TOUCHING,1
025 Total,1
026,
OFFENSES AGAINST THE PERSON,2
026 Total,2
040,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
040 Total,2
044,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
044 Total,2
048,
OFFENSES AGAINST THE PERSON,1
048 Total,1
049,
ASSAULT 3 & RELATED OFFENSES,1
049 Total,1
060,
ASSAULT 3 & RELATED OFFENSES,2
060 Total,2
061,
FORCIBLE TOUCHING,1
061 Total,1
062,
FELONY ASSAULT,1
062 Total,1
068,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
068 Total,1
071,
FELONY ASSAULT,1
071 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,1
MISCELLANEOUS PENAL LAW,1
073 Total,2
075,
ASSAULT 3 & RELATED OFFENSES,2
075 Total,2
077,
FELONY ASSAULT,1
077 Total,1
078,
ASSAULT 3 & RELATED OFFENSES,1
078 Total,1
079,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
079 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,6
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
084 Total,8
088,
ASSAULT 3 & RELATED OFFENSES,1
HARRASSMENT 2,1
OFFENSES AGAINST THE PERSON,1
088 Total,3
094,
OFFENSES AGAINST THE PERSON,3
094 Total,3
103,
DISORDERLY CONDUCT,1
103 Total,1
106,
ASSAULT 3 & RELATED OFFENSES,1
106 Total,1
107,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
107 Total,2
108,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
SEX CRIMES,1
108 Total,3
112,
FELONY ASSAULT,1
112 Total,1
115,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
115 Total,2
Grand Total,93
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Arrests
MISCELLANEOUS PENAL LAW,1
120 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
