Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
May 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
001 Total,1
005,
OFFENSES AGAINST THE PERSON,3
005 Total,3
006,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
006 Total,3
009,
SEX CRIMES,1
009 Total,1
010,
ASSAULT 3 & RELATED OFFENSES,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,5
FELONY ASSAULT,3
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,6
SEX CRIMES,1
013 Total,16
014,
ASSAULT 3 & RELATED OFFENSES,5
FELONY ASSAULT,1
FORCIBLE TOUCHING,2
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
014 Total,11
017,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
SEX CRIMES,2
017 Total,6
018,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
018 Total,3
019,
FORCIBLE TOUCHING,2
SEX CRIMES,2
019 Total,4
020,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,2
020 Total,3
024,
FORCIBLE TOUCHING,1
SEX CRIMES,3
024 Total,4
025,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
SEX CRIMES,1
025 Total,5
026,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,3
SEX CRIMES,1
026 Total,5
032,
ASSAULT 3 & RELATED OFFENSES,1
032 Total,1
034,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
034 Total,2
040,
ASSAULT 3 & RELATED OFFENSES,5
FELONY ASSAULT,1
040 Total,6
041,
ASSAULT 3 & RELATED OFFENSES,1
041 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,5
044 Total,5
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,1
060,
SEX CRIMES,1
060 Total,1
061,
ASSAULT 3 & RELATED OFFENSES,1
061 Total,1
068,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
068 Total,1
071,
FELONY ASSAULT,1
071 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
073 Total,2
076,
FELONY ASSAULT,1
076 Total,1
079,
FELONY ASSAULT,2
079 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
084 Total,4
088,
ASSAULT 3 & RELATED OFFENSES,1
088 Total,1
100,
ASSAULT 3 & RELATED OFFENSES,2
100 Total,2
101,
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
101 Total,2
106,
OFFENSES AGAINST THE PERSON,1
106 Total,1
108,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,2
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,3
108 Total,7
109,
FELONY ASSAULT,1
109 Total,1
110,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,2
FORCIBLE TOUCHING,2
OFFENSES AGAINST THE PERSON,2
110 Total,8
Grand Total,117
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
