Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
August 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
MISCELLANEOUS PENAL LAW,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
001 Total,4
005,
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
005 Total,3
006,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
006 Total,2
009,
ASSAULT 3 & RELATED OFFENSES,1
SEX CRIMES,1
009 Total,2
013,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,4
SEX CRIMES,1
013 Total,8
014,
ASSAULT 3 & RELATED OFFENSES,2
DISORDERLY CONDUCT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,2
014 Total,6
017,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,2
017 Total,4
018,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,2
018 Total,4
019,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
019 Total,2
020,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,1
020 Total,3
024,
FORCIBLE TOUCHING,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
024 Total,3
025,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
025 Total,2
028,
FELONY ASSAULT,1
028 Total,1
042,
FELONY ASSAULT,1
042 Total,1
043,
ASSAULT 3 & RELATED OFFENSES,1
ROBBERY,1
043 Total,2
044,
ASSAULT 3 & RELATED OFFENSES,4
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
044 Total,5
045,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
045 Total,2
048,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
048 Total,1
050,
FELONY ASSAULT,1
050 Total,1
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,1
060,
ASSAULT 3 & RELATED OFFENSES,4
060 Total,4
070,
FELONY ASSAULT,1
070 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
071 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,3
OFFENSES AGAINST THE PERSON,3
073 Total,6
077,
ASSAULT 3 & RELATED OFFENSES,4
077 Total,4
078,
ASSAULT 3 & RELATED OFFENSES,1
078 Total,1
079,
FELONY ASSAULT,1
079 Total,1
083,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
083 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,5
084 Total,9
088,
OFFENSES AGAINST THE PERSON,1
088 Total,1
094,
ASSAULT 3 & RELATED OFFENSES,1
094 Total,1
103,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
103 Total,1
106,
FELONY ASSAULT,1
106 Total,1
108,
SEX CRIMES,1
108 Total,1
109,
FORCIBLE TOUCHING,1
109 Total,1
112,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
112 Total,2
114,
SEX CRIMES,1
114 Total,1
115,
ASSAULT 3 & RELATED OFFENSES,1
115 Total,1
Grand Total,95
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Arrests
FELONY ASSAULT,1
120 Total,1
122,
FELONY ASSAULT,1
122 Total,1
Grand Total,2
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
