Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
October 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,3
FORCIBLE TOUCHING,1
MISCELLANEOUS PENAL LAW,1
OFFENSES AGAINST THE PERSON,1
001 Total,6
005,
ASSAULT 3 & RELATED OFFENSES,5
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,3
SEX CRIMES,1
005 Total,10
013,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,3
FORCIBLE TOUCHING,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
013 Total,11
014,
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,1
MISCELLANEOUS PENAL LAW,1
OFF. AGNST PUB ORD SENSBLTY &,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,3
014 Total,9
017,
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,2
017 Total,5
018,
ASSAULT 3 & RELATED OFFENSES,6
FELONY ASSAULT,2
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
018 Total,11
019,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
MISCELLANEOUS PENAL LAW,1
SEX CRIMES,1
019 Total,4
020,
ASSAULT 3 & RELATED OFFENSES,1
020 Total,1
022,
RAPE,1
022 Total,1
024,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
024 Total,2
026,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,6
026 Total,7
028,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
028 Total,1
030,
MURDER & NON-NEGL. MANSLAUGHTER,1
030 Total,1
032,
SEX CRIMES,1
032 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,7
MISCELLANEOUS PENAL LAW,1
040 Total,8
041,
FELONY ASSAULT,1
041 Total,1
043,
ASSAULT 3 & RELATED OFFENSES,3
SEX CRIMES,1
043 Total,4
044,
ASSAULT 3 & RELATED OFFENSES,2
044 Total,2
047,
SEX CRIMES,1
047 Total,1
048,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
ROBBERY,1
048 Total,3
060,
ASSAULT 3 & RELATED OFFENSES,2
060 Total,2
070,
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
070 Total,2
071,
ASSAULT 3 & RELATED OFFENSES,1
071 Total,1
072,
FELONY ASSAULT,1
072 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
073 Total,5
075,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
075 Total,1
078,
ASSAULT 3 & RELATED OFFENSES,1
078 Total,1
079,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
079 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,6
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
084 Total,12
088,
FELONY ASSAULT,1
088 Total,1
100,
FELONY ASSAULT,1
100 Total,1
103,
FELONY ASSAULT,1
103 Total,1
110,
FELONY ASSAULT,1
MISCELLANEOUS PENAL LAW,1
110 Total,2
112,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
112 Total,3
114,
OFFENSES AGAINST THE PERSON,1
114 Total,1
115,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
115 Total,1
Grand Total,125
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
