Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
June 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Arrests
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,3
001 Total,5
005,
OFFENSES AGAINST THE PERSON,2
005 Total,2
007,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,2
FELONY ASSAULT,2
007 Total,5
010,
FORCIBLE TOUCHING,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,2
SEX CRIMES,1
013 Total,4
014,
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,1
SEX CRIMES,2
014 Total,5
017,
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
017 Total,2
018,
ASSAULT 3 & RELATED OFFENSES,5
SEX CRIMES,1
018 Total,6
019,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
019 Total,2
020,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
SEX CRIMES,2
020 Total,4
024,
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,2
024 Total,3
030,
FORCIBLE TOUCHING,2
030 Total,2
034,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
034 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,2
MURDER & NON-NEGL. MANSLAUGHTER,1
040 Total,4
041,
ASSAULT 3 & RELATED OFFENSES,1
041 Total,1
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
RAPE,1
ROBBERY,1
052 Total,3
060,
ASSAULT 3 & RELATED OFFENSES,2
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
060 Total,4
066,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
066 Total,1
071,
FELONY ASSAULT,1
071 Total,1
072,
OFFENSES AGAINST THE PERSON,2
SEX CRIMES,1
072 Total,3
075,
FORCIBLE TOUCHING,1
075 Total,1
078,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
078 Total,1
079,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,2
079 Total,3
083,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
083 Total,2
084,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,5
084 Total,10
103,
FORCIBLE TOUCHING,1
103 Total,1
107,
ASSAULT 3 & RELATED OFFENSES,1
107 Total,1
108,
FELONY ASSAULT,2
108 Total,2
110,
ASSAULT 3 & RELATED OFFENSES,2
110 Total,2
115,
SEX CRIMES,1
115 Total,1
Grand Total,83
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
122,Arrests
FELONY ASSAULT,1
122 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
