Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
January 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Totals
FELONY ASSAULT,3
FORCIBLE TOUCHING,1
MISCELLANEOUS PENAL LAW,1
SEX CRIMES,2
001 Total,7
005,
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,5
005 Total,6
006,
ROBBERY,1
006 Total,1
010,
DISORDERLY CONDUCT,1
010 Total,1
013,
ASSAULT 3 & RELATED OFFENSES,2
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,4
013 Total,8
014,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,3
FORCIBLE TOUCHING,3
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,4
SEX CRIMES,1
014 Total,15
017,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
SEX CRIMES,2
017 Total,5
018,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
018 Total,5
019,
ASSAULT 3 & RELATED OFFENSES,1
019 Total,1
020,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
020 Total,3
023,
FELONY ASSAULT,1
023 Total,1
024,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
SEX CRIMES,1
024 Total,3
025,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
025 Total,1
026,
ASSAULT 3 & RELATED OFFENSES,3
FELONY ASSAULT,4
026 Total,7
030,
ASSAULT 3 & RELATED OFFENSES,1
030 Total,1
033,
DISORDERLY CONDUCT,1
033 Total,1
034,
FORCIBLE TOUCHING,1
034 Total,1
040,
ASSAULT 3 & RELATED OFFENSES,2
040 Total,2
044,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
FELONY ASSAULT,1
044 Total,3
047,
FELONY ASSAULT,2
FORCIBLE TOUCHING,1
047 Total,3
048,
FELONY ASSAULT,1
048 Total,1
049,
ASSAULT 3 & RELATED OFFENSES,2
049 Total,2
050,
ROBBERY,1
050 Total,1
052,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
052 Total,1
060,
ASSAULT 3 & RELATED OFFENSES,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
060 Total,2
061,
ASSAULT 3 & RELATED OFFENSES,1
061 Total,1
070,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
070 Total,2
071,
FELONY ASSAULT,1
071 Total,1
073,
ASSAULT 3 & RELATED OFFENSES,4
FORCIBLE TOUCHING,1
073 Total,5
075,
ASSAULT 3 & RELATED OFFENSES,1
075 Total,1
079,
OFFENSES AGAINST THE PERSON,2
079 Total,2
083,
ASSAULT 3 & RELATED OFFENSES,1
083 Total,1
084,
ASSAULT 3 & RELATED OFFENSES,6
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,2
084 Total,10
090,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
090 Total,2
100,
DISORDERLY CONDUCT,2
100 Total,2
101,
ASSAULT 3 & RELATED OFFENSES,1
101 Total,1
103,
FELONY ASSAULT,1
103 Total,1
104,
FELONY ASSAULT,1
104 Total,1
106,
ASSAULT 3 & RELATED OFFENSES,2
106 Total,2
108,
ASSAULT 3 & RELATED OFFENSES,4
FELONY ASSAULT,2
OFFENSES AGAINST THE PERSON,1
108 Total,7
110,
ASSAULT 3 & RELATED OFFENSES,2
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
110 Total,4
112,
OFFENSES AGAINST THE PERSON,7
112 Total,7
Grand Total,132
,
Section II - Staten Island Rapid Transit Jurisdiction Arrests by Precinct,
120,Totals
ASSAULT 3 & RELATED OFFENSES,1
120 Total,1
Grand Total,1
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
